_id,userId,likedPlaces,dislikedPlaces
ObjectId(5bfd7239bd04df0b9d6adcc6),ObjectId(5bfd72046af8ef79fcd17aa4),"[{""_id"":{""$oid"":""5bfd72396af8ef79fcd17aa7""},""dateAdded"":{""$date"":""2018-11-27T16:35:05.674Z""},""placeId"":{""$oid"":""5a7c681714f4ba437b872f6c""}}]",
ObjectId(5bfd7a49bd04df0b9d6e3656),ObjectId(5bfd7a0a6af8ef79fcd17aa9),"[{""_id"":{""$oid"":""5bfd7a496af8ef79fcd17aac""},""dateAdded"":{""$date"":""2018-11-27T17:09:29.726Z""},""placeId"":{""$oid"":""5a7c684214f4ba437b872fab""}},{""_id"":{""$oid"":""5bfd7a4e6af8ef79fcd17aad""},""dateAdded"":{""$date"":""2018-11-27T17:09:34.727Z""},""placeId"":{""$oid"":""5a7c643114f4ba437b87294f""}},{""_id"":{""$oid"":""5c005daa6af8ef79fcd17b2b""},""dateAdded"":{""$date"":""2018-11-29T21:44:10.500Z""},""placeId"":{""$oid"":""5b4cb97bd64813ebac8dd5c4""}},{""_id"":{""$oid"":""5c005dbf6af8ef79fcd17b2c""},""dateAdded"":{""$date"":""2018-11-29T21:44:31.593Z""},""placeId"":{""$oid"":""5a7c68fa14f4ba437b8730cc""}},{""_id"":{""$oid"":""5c0350af6af8ef79fcd17b98""},""dateAdded"":{""$date"":""2018-12-02T03:25:35.028Z""},""placeId"":{""$oid"":""5a7c676a14f4ba437b872e64""}}]",
ObjectId(5bfecaafbd04df0b9dfafb46),ObjectId(5b74b560b189b13ca8713c75),"[{""_id"":{""$oid"":""5bfecaaf6af8ef79fcd17ad5""},""dateAdded"":{""$date"":""2018-11-28T17:04:47.411Z""},""placeId"":{""$oid"":""5a93f7a035427db22cf35e6b""}}]",
ObjectId(5bfff23abd04df0b9d76a37b),ObjectId(5bfff1a86af8ef79fcd17b18),"[{""_id"":{""$oid"":""5bfff23a6af8ef79fcd17b1b""},""dateAdded"":{""$date"":""2018-11-29T14:05:46.500Z""},""placeId"":{""$oid"":""5b4df74dd64813ebacf4d79c""}}]",
ObjectId(5c02743ebd04df0b9d81e62a),ObjectId(5bc33a57a887c51f761caf72),"[{""_id"":{""$oid"":""5c02743e6af8ef79fcd17b7d""},""dateAdded"":{""$date"":""2018-12-01T11:45:02.156Z""},""placeId"":{""$oid"":""5a7c5acd14f4ba437b871702""}}]",
ObjectId(5c02ee2fbd04df0b9db4a7b2),ObjectId(5c02edaa6af8ef79fcd17b88),"[{""_id"":{""$oid"":""5c02ee2f6af8ef79fcd17b8b""},""dateAdded"":{""$date"":""2018-12-01T20:25:19.919Z""},""placeId"":{""$oid"":""5a7c5b8614f4ba437b87181e""}},{""_id"":{""$oid"":""5c10e6e0adbaa3202c39cf1e""},""dateAdded"":{""$date"":""2018-12-12T10:45:52.825Z""},""placeId"":{""$oid"":""5a7c5ad214f4ba437b871709""}}]",
ObjectId(5c031797bd04df0b9dc57fca),ObjectId(5bd21d9e60da992c5d62ea44),"[{""_id"":{""$oid"":""5c0317976af8ef79fcd17b97""},""dateAdded"":{""$date"":""2018-12-01T23:21:59.975Z""},""placeId"":{""$oid"":""5a7c65d014f4ba437b872bde""}}]",
ObjectId(5c03c10ebd04df0b9d0ba3b0),ObjectId(5c03b2716af8ef79fcd17b9e),"[{""_id"":{""$oid"":""5c03e78d6af8ef79fcd17bc4""},""dateAdded"":{""$date"":""2018-12-02T14:09:17.031Z""},""placeId"":{""$oid"":""5a7c65f414f4ba437b872c17""}},{""_id"":{""$oid"":""5c03e7946af8ef79fcd17bc5""},""dateAdded"":{""$date"":""2018-12-02T14:09:24.254Z""},""placeId"":{""$oid"":""5a7c62a814f4ba437b8726dc""}},{""_id"":{""$oid"":""5c03e7986af8ef79fcd17bc6""},""dateAdded"":{""$date"":""2018-12-02T14:09:28.167Z""},""placeId"":{""$oid"":""5a93f54935427db22cf2cee0""}},{""_id"":{""$oid"":""5c03e79c6af8ef79fcd17bc7""},""dateAdded"":{""$date"":""2018-12-02T14:09:32.005Z""},""placeId"":{""$oid"":""5bfac460bd04df0b9d4e3031""}},{""_id"":{""$oid"":""5c03e7a06af8ef79fcd17bc8""},""dateAdded"":{""$date"":""2018-12-02T14:09:36.016Z""},""placeId"":{""$oid"":""5b4df1a3d64813ebacf35e10""}},{""_id"":{""$oid"":""5c03e7a56af8ef79fcd17bc9""},""dateAdded"":{""$date"":""2018-12-02T14:09:41.040Z""},""placeId"":{""$oid"":""5a7c674914f4ba437b872e2f""}},{""_id"":{""$oid"":""5c03e7a86af8ef79fcd17bca""},""dateAdded"":{""$date"":""2018-12-02T14:09:44.522Z""},""placeId"":{""$oid"":""5a7c639b14f4ba437b872861""}},{""_id"":{""$oid"":""5c03e7ad6af8ef79fcd17bcb""},""dateAdded"":{""$date"":""2018-12-02T14:09:49.014Z""},""placeId"":{""$oid"":""5a7c6a1e14f4ba437b8732a3""}},{""_id"":{""$oid"":""5c03e7b26af8ef79fcd17bcc""},""dateAdded"":{""$date"":""2018-12-02T14:09:54.318Z""},""placeId"":{""$oid"":""5a7c6a1314f4ba437b873291""}},{""_id"":{""$oid"":""5c03e7b46af8ef79fcd17bcd""},""dateAdded"":{""$date"":""2018-12-02T14:09:56.399Z""},""placeId"":{""$oid"":""5a7c62ec14f4ba437b87274c""}},{""_id"":{""$oid"":""5c03e7b66af8ef79fcd17bce""},""dateAdded"":{""$date"":""2018-12-02T14:09:58.682Z""},""placeId"":{""$oid"":""5a7c635214f4ba437b8727f2""}},{""_id"":{""$oid"":""5c03e7bf6af8ef79fcd17bcf""},""dateAdded"":{""$date"":""2018-12-02T14:10:07.360Z""},""placeId"":{""$oid"":""5bf4354abd04df0b9da10f21""}},{""_id"":{""$oid"":""5c03e7c06af8ef79fcd17bd0""},""dateAdded"":{""$date"":""2018-12-02T14:10:08.797Z""},""placeId"":{""$oid"":""5b4dfb05d64813ebacf5ea4b""}},{""_id"":{""$oid"":""5c03e7c46af8ef79fcd17bd1""},""dateAdded"":{""$date"":""2018-12-02T14:10:12.552Z""},""placeId"":{""$oid"":""5a7c679c14f4ba437b872eb6""}},{""_id"":{""$oid"":""5c03e7c96af8ef79fcd17bd2""},""dateAdded"":{""$date"":""2018-12-02T14:10:17.621Z""},""placeId"":{""$oid"":""5a7c630e14f4ba437b872780""}},{""_id"":{""$oid"":""5c03e7d26af8ef79fcd17bd3""},""dateAdded"":{""$date"":""2018-12-02T14:10:26.875Z""},""placeId"":{""$oid"":""5a7c65d414f4ba437b872be4""}},{""_id"":{""$oid"":""5c03e8046af8ef79fcd17bd4""},""dateAdded"":{""$date"":""2018-12-02T14:11:16.132Z""},""placeId"":{""$oid"":""5a7c647b14f4ba437b8729bb""}},{""_id"":{""$oid"":""5c03e8386af8ef79fcd17bd5""},""dateAdded"":{""$date"":""2018-12-02T14:12:08.114Z""},""placeId"":{""$oid"":""5a7c655b14f4ba437b872b20""}},{""_id"":{""$oid"":""5c03e8846af8ef79fcd17bd6""},""dateAdded"":{""$date"":""2018-12-02T14:13:24.425Z""},""placeId"":{""$oid"":""5a7c69bb14f4ba437b873206""}},{""_id"":{""$oid"":""5c03e8876af8ef79fcd17bd7""},""dateAdded"":{""$date"":""2018-12-02T14:13:27.547Z""},""placeId"":{""$oid"":""5bf4354ebd04df0b9da11267""}},{""_id"":{""$oid"":""5c03e8886af8ef79fcd17bd8""},""dateAdded"":{""$date"":""2018-12-02T14:13:28.564Z""},""placeId"":{""$oid"":""5bf4355dbd04df0b9da11eec""}},{""_id"":{""$oid"":""5c03e8916af8ef79fcd17bd9""},""dateAdded"":{""$date"":""2018-12-02T14:13:37.925Z""},""placeId"":{""$oid"":""5a7c6b3814f4ba437b873451""}},{""_id"":{""$oid"":""5c03e8976af8ef79fcd17bda""},""dateAdded"":{""$date"":""2018-12-02T14:13:43.557Z""},""placeId"":{""$oid"":""5a7c66ef14f4ba437b872d9f""}},{""_id"":{""$oid"":""5c03e8c66af8ef79fcd17bdb""},""dateAdded"":{""$date"":""2018-12-02T14:14:30.615Z""},""placeId"":{""$oid"":""5a93f67e35427db22cf317b4""}}]","[{""_id"":{""$oid"":""5c03c10e6af8ef79fcd17ba7""},""dateAdded"":{""$date"":""2018-12-02T11:25:02.920Z""},""placeId"":{""$oid"":""5a7c5fe014f4ba437b871c80""}}]"
ObjectId(5c06d917bd04df0b9d5958df),ObjectId(5bffe5806af8ef79fcd17b12),"[{""_id"":{""$oid"":""5c06d9176af8ef79fcd17c5a""},""dateAdded"":{""$date"":""2018-12-04T19:44:23.826Z""},""placeId"":{""$oid"":""5a7c634a14f4ba437b8727e5""}},{""_id"":{""$oid"":""5c06d97c6af8ef79fcd17c5b""},""dateAdded"":{""$date"":""2018-12-04T19:46:04.656Z""},""placeId"":{""$oid"":""5a7c6adc14f4ba437b8733d1""}},{""_id"":{""$oid"":""5c06da696af8ef79fcd17c5d""},""dateAdded"":{""$date"":""2018-12-04T19:50:01.350Z""},""placeId"":{""$oid"":""5a7c673714f4ba437b872e0f""}},{""_id"":{""$oid"":""5c06da996af8ef79fcd17c5e""},""dateAdded"":{""$date"":""2018-12-04T19:50:49.696Z""},""placeId"":{""$oid"":""5a7c67c314f4ba437b872ef1""}},{""_id"":{""$oid"":""5c06dab96af8ef79fcd17c61""},""dateAdded"":{""$date"":""2018-12-04T19:51:21.960Z""},""placeId"":{""$oid"":""5a7c699b14f4ba437b8731d4""}},{""_id"":{""$oid"":""5c06dad06af8ef79fcd17c63""},""dateAdded"":{""$date"":""2018-12-04T19:51:44.282Z""},""placeId"":{""$oid"":""5a7c6ae314f4ba437b8733dc""}},{""_id"":{""$oid"":""5c06db8b6af8ef79fcd17c65""},""dateAdded"":{""$date"":""2018-12-04T19:54:51.649Z""},""placeId"":{""$oid"":""5a7c68f714f4ba437b8730c7""}},{""_id"":{""$oid"":""5c06dc296af8ef79fcd17c68""},""dateAdded"":{""$date"":""2018-12-04T19:57:29.925Z""},""placeId"":{""$oid"":""5b4df93fd64813ebacf56291""}},{""_id"":{""$oid"":""5c06dc3c6af8ef79fcd17c6a""},""dateAdded"":{""$date"":""2018-12-04T19:57:48.699Z""},""placeId"":{""$oid"":""5a7c698d14f4ba437b8731bb""}},{""_id"":{""$oid"":""5c06dc486af8ef79fcd17c6c""},""dateAdded"":{""$date"":""2018-12-04T19:58:00.842Z""},""placeId"":{""$oid"":""5a7c665a14f4ba437b872caf""}},{""_id"":{""$oid"":""5c06dc6e6af8ef79fcd17c6e""},""dateAdded"":{""$date"":""2018-12-04T19:58:38.815Z""},""placeId"":{""$oid"":""5a7c62e614f4ba437b872745""}}]",
ObjectId(5c07c0a0bd04df0b9dbc14d8),ObjectId(5c07be6e6af8ef79fcd17c75),"[{""_id"":{""$oid"":""5c07c0a06af8ef79fcd17c79""},""dateAdded"":{""$date"":""2018-12-05T12:12:16.510Z""},""placeId"":{""$oid"":""5a7c65f414f4ba437b872c17""}}]",
